"Gene"	"padj"	"pvalue"	"lfcSE"	"stat"	"log2FoldChange"	"baseMean"
"SIGLEC1"	0.00578677812729196	5.62537979597295e-05	0.443357555048484	4.02799810091923	1.78584338976349	2151.06677496534
"SELENBP1"	0.00592887531906328	5.82386470164502e-05	0.630897420691989	-4.01983608522231	-2.53610421777134	260.951476505681
"CLTB"	0.00592887531906328	5.80529925463506e-05	0.403439641232542	4.02058826543668	1.62206468735154	2722.28780737997
"HLX"	0.00597984063916294	5.90436219461325e-05	0.48890894438882	4.01660077442232	1.96375204465413	467.743979914417
"RHEB"	0.0059825692525022	5.93750511114581e-05	0.308691529148555	4.01528083732465	1.23948318163464	2226.18685771557
"WNT2"	0.00598746709459299	5.97283973198405e-05	0.94087894522126	-4.01388127658648	-3.77657638175805	471.590654686335
"PARP12"	0.00616563648952479	6.18195433854022e-05	0.393582810231196	4.00575560143369	1.57659654671163	995.310874383662
"PKNOX2"	0.006280937401888	6.32952771566482e-05	1.06971938641445	-4.00017642938565	-4.27906627559199	28.7881762334175
"TLR3"	0.00642105104523749	6.5034057308747e-05	0.569530392351773	-3.99375867048305	-2.2745669425585	387.894649467936
"RET"	0.00650747047134089	6.62405381854733e-05	0.969150640067514	3.98940035548152	3.86632990800048	243.90189804166
"MIR612"	0.0065723082638456	6.7235034661694e-05	0.788720466560469	3.98586393642046	3.14373246358009	46.6623302703218
"ATP6V0A4"	0.00661408436577289	6.83356639989768e-05	1.10038206831987	-3.9820073570502	-4.38172949161585	37.0707713169937
"APLP1"	0.00706520894425289	7.33562003576746e-05	0.769402233061708	3.96512920914884	3.05077926789732	107.246529636199
"SCTR-AS1"	0.00742952120921712	7.78950208213928e-05	1.04438068736201	3.95078578896406	4.12612437789836	41.4347507552788
"DAPP1"	0.00749547692292137	7.89680233634326e-05	0.76944668686929	3.94751059821866	3.03739895118075	506.837106521928
"LOC105374339"	0.00755133733514605	8.07095297425016e-05	0.747904921343989	-3.94228339630389	-2.94845315342838	75.8509302451862
"LOC105376505"	0.00755133733514605	8.02065765616408e-05	0.819667997531153	3.94378199420337	3.23259188988809	18.8360261959395
"ANPEP"	0.00755133733514605	8.05405089161684e-05	0.505348080649542	3.94278602304495	1.9924793491576	2732.83982151856
